#class tools::histo::h1d
#title Edep in absorber
#dimension 1
#axis fixed 100 0 1
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.135651,0.0184013
1,1,1,0.14105,0.0198952
3,3,3,0.470842,0.0739288
1,1,1,0.160372,0.0257192
1,1,1,0.171481,0.0294058
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.223212,0.0498236
1,1,1,0.236798,0.0560731
1,1,1,0.246282,0.060655
1,1,1,0.259921,0.0675589
3,3,3,0.78878,0.207406
0,0,0,0,0
1,1,1,0.286903,0.0823132
0,0,0,0,0
2,2,2,0.603117,0.181875
0,0,0,0,0
1,1,1,0.324191,0.1051
1,1,1,0.337991,0.114238
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.378808,0.143496
2,2,2,0.767565,0.294579
0,0,0,0,0
2,2,2,0.807011,0.325637
1,1,1,0.413681,0.171132
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,0.90496,0.409477
1,1,1,0.465755,0.216928
2,2,2,0.952151,0.453317
2,2,2,0.972662,0.473049
1,1,1,0.496943,0.246953
3,3,3,1.50799,0.758047
1,1,1,0.51887,0.269226
4,4,4,2.09789,1.1003
2,2,2,1.0697,0.572127
4,4,4,2.18893,1.19788
3,3,3,1.67618,0.936533
5,5,5,2.82723,1.59871
5,5,5,2.86922,1.64653
7,7,7,4.09769,2.39878
11,11,11,6.53475,3.88213
16,16,16,9.67575,5.85132
20,20,20,12.2997,7.56426
27,27,27,16.8735,10.5452
35,35,35,22.2107,14.0949
48,48,48,30.9551,19.9632
52,52,52,34.0737,22.3276
80,80,80,53.3039,35.5169
109,109,109,73.6206,49.7256
171,171,171,117.192,80.3168
249,249,249,172.979,120.17
322,322,322,227.124,160.205
371,371,371,265.364,189.809
471,471,471,341.515,247.632
553,553,553,406.58,298.933
610,610,610,454.562,338.737
775,775,775,585.293,442.03
905,905,905,692.346,529.668
1028,1028,1028,796.829,617.652
1225,1225,1225,961.83,755.207
1035,1035,1035,821.881,652.653
504,504,504,405.678,326.541
434,434,434,353.581,288.067
381,381,381,314.364,259.386
327,327,327,273.025,227.962
266,266,266,224.736,189.875
189,189,189,161.535,138.063
124,124,124,107.286,92.8256
92,92,92,80.4395,70.3324
59,59,59,52.1884,46.1636
41,41,41,36.6532,32.7675
36,36,36,32.5522,29.4348
18,18,18,16.4611,15.054
4,4,4,3.69623,3.41558
4,4,4,3.72871,3.47582
1,1,1,0.948133,0.898957
3,3,3,2.8605,2.72749
4,4,4,3.8492,3.70411
1,1,1,0.977172,0.954866
0,0,0,0,0
2604,2604,2604,2604,2604
86728,86728,86728,86728,86728
